顽固,wángù,stubborn; obstinate
圈套,quāntào,trap; snare; trick
麻痹,mábì,(fig.) to lull; apathetic; negligent; numbness; palsy; paralysis; to benumb
泛滥,fànlàn,to be in flood; to inundate; to overflow (the banks); to spread unchecked
混乱,hùnluàn,chaos; confusion; disorder
剑,jiàn,classifier for blows of a sword; double-edged sword
绑架,bǎngjià,a kidnapping; abduction; staking; to abduct; to hijack; to kidnap
辐射,fúshè,radiation
分寸,fēncun,appropriate behavior; proper speech or action; propriety; within the norms
家常,jiācháng,the daily life of a family
凑合,còuhe,not too bad; passable; to bring together; to improvise; to just get by; to make do in a bad situation
剥削,bōxuē,exploitation; to exploit
故障,gùzhàng,breakdown; bug (in software); defect; error; failure; fault; impediment; malfunction; shortcoming
阻碍,zǔài,hindrance; obstruction; to block; to hinder; to obstruct
和气,héqi,amiable; friendly; polite
效益,xiàoyì,benefit; effectiveness; efficiency
陷阱,xiànjǐng,pitfall; snare; trap
欣慰,xīnwèi,to be gratified
截止,jiézhǐ,cut-off point; deadline; stopping point; to close; to put a stop to sth; to stop
埋伏,máifú,ambush; to ambush; to lie in wait for; to lie low
降临,jiànglín,to arrive; to come; to descend
修建,xiūjiàn,to build; to construct
现状,xiànzhuàng,current situation
声势,shēngshì,fame and power; impetus; influence; momentum; prestige
民主,mínzhǔ,democracy
波浪,bōlàng,wave
培育,péiyù,to breed; to train
循序渐进,xúnxùjiànjìn,in sequence, step by step (idiom); to make steady progress incrementally
无非,wúfēi,nothing else; only
上游,shàngyóu,upper echelon; upper level; upper reaches (of a river); upstream
眼色,yǎnsè,meaningful glance; signal made with one's eyes
打架,dǎjià,to come to blows; to fight; to scuffle
清澈,qīngchè,clear; limpid
拖延,tuōyán,to delay; to procrastinate; to put off
工艺品,gōngyìpǐn,handicraft article; handiwork
极端,jíduān,extreme
请柬,qǐngjiǎn,invitation card; written invitation
娃娃,wáwa,baby; doll; small child
钦佩,qīnpèi,to admire; to look up to; to respect sb greatly
动机,dòngjī,motive; motivation
领土,lǐngtǔ,territory
走漏,zǒulòu,to leak (information, secrets etc); to smuggle and evade tax; to suffer shrinkage (partial loss of goods due to theft etc)
分红,fēnhóng,dividend; to award a bonus
通讯,tōngxùn,communications; dispatch; news story
支援,zhīyuán,to back; to provide assistance; to support
埋葬,máizàng,to bury
埋怨,mányuàn,to blame; to complain; to grumble (about); to reproach
首要,shǒuyào,of chief importance; the most important
选举,xuǎnjǔ,election; to elect
泰斗,tàidǒu,(abbr. for 泰山北斗[Tai4 Shan1 Bei3 dou3]) distinguished figure; doyen; revered authority
斩钉截铁,zhǎndīngjiétiě,fig. resolute and decisive; unhesitating; categorical; lit. to chop the nail and slice the iron (idiom)
相等,xiāngděng,equal; equally; equivalent
坚定,jiāndìng,firm; resolute; staunch; steady
误解,wùjiě,misunderstanding; to misunderstand
招标,zhāobiāo,to invite bids
急于求成,jíyúqiúchéng,anxious for quick results (idiom); to demand instant success; impatient for result; impetuous
丧失,sàngshī,to forfeit; to lose
钩子,gōuzi,hook
须知,xūzhī,instructions; it must be borne in mind; key information
镇静,zhènjìng,calm; cool
含义,hányì,connotation; hidden meaning; hint; implied meaning; meaning (implicit in a phrase)
镜头,jìngtóu,camera lens; camera shot (in a movie etc); scene
冲突,chōngtū,clash of opposing forces; collision (of interests); conflict; contention; to conflict
名额,míngé,number of places; place (in an institution, a group etc); quota
片断,piànduàn,fragment; section; segment
嘱咐,zhǔfù,injunction; to exhort; to tell
公民,gōngmín,citizen
穿越,chuānyuè,to cross; to pass through; to traverse
调解,tiáojiě,to bring parties to an agreement; to mediate
摘要,zhāiyào,abstract; summary
北极,běijí,the North Pole; the Arctic Pole; the north magnetic pole
评估,pínggū,assessment; evaluation; to assess; to evaluate
特长,tècháng,one's special ability or strong points; personal strength
便于,biànyú,easy to; convenient for
败坏,bàihuài,to corrupt; to ruin; to undermine
枝,zhī,branch; classifier for sticks, rods, pencils etc
惊讶,jīngyà,amazed; amazing; astonished; astonishment; awe; to surprise
夫人,fūren,Mrs.; lady; madam
庄稼,zhuāngjia,farm crop
本能,běnnéng,instinct
解放,jiěfàng,liberation; refers to the Communists' victory over the Nationalists in 1949; to emancipate; to liberate
报答,bàodá,to repay; to requite
昔日,xīrì,former days; in the past
上瘾,shàngyǐn,to become addicted; to get into a habit
博大精深,bódàjīngshēn,broad and deep; wide-ranging and profound
丑恶,chǒuè,repulsive; ugly
麻木,mámù,apathetic; insensitive; numb
座右铭,zuòyòumíng,maxim; motto
主导,zhǔdǎo,dominant; leading; prevailing; to direct; to dominate; to lead
恰当,qiàdàng,appropriate; suitable
供给,gōngjǐ,supply (as in supply and demand); to furnish; to provide
雕刻,diāokè,carving; to carve; to engrave
若干,ruògān,a certain number or amount; how many?; how much?
壮丽,zhuànglì,glorious; magnificence; magnificent; majestic
告诫,gàojiè,to admonish; to warn
咀嚼,jǔjué,to chew; to think over
毅力,yìlì,perseverance; willpower
抗议,kàngyì,protest; to protest
投票,tóupiào,to vote; vote
扭转,niǔzhuǎn,(mechanics) torsion; to reverse; to turn around (an undesirable situation)
勉励,miǎnlì,to encourage
场面,chǎngmiàn,occasion; scene; situation; spectacle
山脉,shānmài,mountain range
偿还,chánghuán,to reimburse; to repay
才干,cáigàn,ability; competence
风味,fēngwèi,distinctive flavor; distinctive style
霞,xiá,rose-tinted sky or clouds at sunrise or sunset
动力,dònglì,(fig.) motivation; force; impetus; motive power
开除,kāichú,to expel (a member of an organization); to fire (an employee)
推测,tuīcè,speculation; to conjecture; to speculate; to surmise
创业,chuàngyè,entrepreneurship; to begin an undertaking; to initiate; to start a major task; to venture; venture
意向,yìxiàng,disposition; inclination; intent; intention; purpose
福气,fúqi,a blessing; good fortune
州,zhōu,(old) administrative division; (old) province; canton (Switzerland); oblast (Russia); prefecture; state (e.g. of US)
债券,zhàiquàn,bond; debenture
与日俱增,yǔrìjùzēng,to grow with each passing day; to increase steadily
稠密,chóumì,dense
十足,shízú,a pure shade (of some color); ample; complete; hundred percent
踏实,tāshi,firmly-based; free from anxiety; steadfast; steady; to have peace of mind
局限,júxiàn,to confine; to limit; to restrict sth within set boundaries
变迁,biànqiān,changes; vicissitudes
瘫痪,tānhuàn,be paralyzed (body, transportation, etc); paralysis
商标,shāngbiāo,logo; trademark
见解,jiànjiě,opinion; understanding; view
吃苦,chīkǔ,to bear hardships
反射,fǎnshè,reflection (from a mirror etc); reflex (i.e. automatic reaction of organism); to reflect
诞生,dànshēng,to be born
猛烈,měngliè,fierce; violent; vigorous; intense
面貌,miànmào,appearance; look; face; features
迟缓,chíhuǎn,slow; sluggish
聋哑,lóngyǎ,deaf and dumb
见义勇为,jiànyìyǒngwéi,acting heroically in a just cause; to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth
压缩,yāsuō,to compress; compression
丰盛,fēngshèng,rich; sumptuous
就职,jiùzhí,to take office; to assume a post
高超,gāochāo,excellent; superlative
东道主,dōngdàozhǔ,host; official host (e.g. venue for games or a conference)
溅,jiàn,to splash
热门,rèmén,popular; hot; in vogue
流浪,liúlàng,homeless; nomadic; to drift about; to roam; to wander; unsettled (e.g. population); vagrant
参照,cānzhào,to consult a reference; to refer to (another document)
差别,chābié,difference; distinction; disparity
形态,xíngtài,form; morphology; pattern; shape
众所周知,zhòngsuǒzhōuzhī,as everyone knows (idiom)
招收,zhāoshōu,to hire; to recruit
踊跃,yǒngyuè,eager; enthusiastically; to jump; to leap
启事,qǐshì,a notice; announcement (written, on billboard, letter, newspaper or website); to post information
登陆,dēnglù,to come ashore; to land; to make landfall (of typhoon etc)
气概,qìgài,lofty quality; mettle; spirit
恳切,kěnqiè,earnest; sincere
含糊,hánhu,ambiguous; careless; perfunctory; vague
巴结,bājie,to curry favor with; to fawn on; to make up to
胸怀,xiōnghuái,breast; broad-minded and open; one's bosom (the seat of emotions); to cherish; to think about
滔滔不绝,tāotāobùjué,gabbling forty to the dozen; talking non-stop; unceasing torrent (idiom)
光芒,guāngmáng,brilliant rays; radiance; rays of light
意志,yìzhì,will; willpower; determination
溜,liū,to escape in stealth; to skate; to slip away
盘旋,pánxuán,to circle; to go around; to hover; to orbit; to spiral
和睦,hémù,harmonious; peaceful relations
结算,jiésuàn,to close an account; to settle a bill
传达,chuándá,to convey; to pass on; to relay; to transmit; transmission
边界,biānjiè,border; boundary
即将,jíjiāng,on the eve of; to be about to; to be on the verge of
委托,wěituō,to commission; to entrust; to trust
挑衅,tiǎoxìn,provocation; to provoke
唾弃,tuòqì,to disdain; to spurn
封锁,fēngsuǒ,to blockade; to lock down; to seal off
东张西望,dōngzhāngxīwàng,to glance around; to look in all directions (idiom)
向往,xiàngwǎng,to look forward to; to yearn for
默默,mòmò,in silence; not speaking
配套,pèitào,compatible; complementary; matching; to form a complete set
新郎,xīnláng,bridegroom; groom
譬如,pìrú,for example; for instance; such as
古怪,gǔguài,bizarre; eccentric; strange; weird
周折,zhōuzhé,complication; difficulty; effort; twists and turns; vicissitude
功效,gōngxiào,efficacy
决策,juécè,decision-making; policy decision; strategic decision; to determine policy
操纵,cāozòng,to control; to manipulate; to operate; to rig
显著,xiǎnzhù,notable; outstanding; remarkable; statistically significant
统统,tǒngtǒng,totally
哄,hǒng,to amuse (a child); to coax; to deceive
哄,hōng,hubbub; roar of laughter (onom.); to roar (as a crowd)
哄,hòng,commotion; disturbance; tumult; uproar
不相上下,bùxiāngshàngxià,about the same; equally matched
寻觅,xúnmì,to look for
意识,yìshí,awareness; consciousness; to be aware; to realize
莫名其妙,mòmíngqímiào,(idiom) baffling; bizarre; without rhyme or reason; inexplicable
柔和,róuhé,gentle; soft
煎,jiān,to pan fry; to sauté
联想,Liánxiǎng,Lenovo
联想,liánxiǎng,mental association; to associate (cognitively); to make an associative connection; word prediction and auto-complete functions of input method editing programs
以便,yǐbiàn,in order to; so as to; so that
嫌疑,xiányí,suspicion; to have suspicions
财富,cáifù,riches; wealth
逆行,nìxíng,to go against one-way traffic regulation; to go the wrong way
发动,fādòng,to arouse; to launch; to mobilize; to start; to unleash
残留,cánliú,residual; remnant; residue; to remain; to be left over
团圆,tuányuán,to have a reunion
见多识广,jiànduōshíguǎng,experienced and knowledgeable (idiom)
真相,zhēnxiàng,the truth about sth; the actual facts
抵制,dǐzhì,refusal; resistance; to boycott; to refuse (to cooperate); to reject; to resist
胸膛,xiōngtáng,chest
区域,qūyù,area; district; region
雪上加霜,xuěshàngjiāshuāng,(idiom) to make matters even worse; to add insult to injury
品种,pǐnzhǒng,breed; variety
卫星,wèixīng,moon; satellite
递增,dìzēng,in increasing order; incremental; progressive; to increase by degrees
眨,zhǎ,to blink; to wink
分明,fēnmíng,clear; clearly; distinct; evidently
闲话,xiánhuà,casual conversation; chat; gossip; to talk about (whatever comes to mind)
停滞,tíngzhì,at a standstill; bogged down; stagnation
签署,qiānshǔ,to sign (an agreement)
稿件,gǎojiàn,article; manuscript; piece of writing submitted for publication
捏,niē,to fabricate (a story, a report, etc); to hold (lit. in one's hand and fig.); to hold between the thumb and fingers; to join together; to mold (using the fingers); to pinch
法人,fǎrén,corporation; legal person
保障,bǎozhàng,to ensure; to guarantee; to safeguard
主义,zhǔyì,-ism; ideology
悔恨,huǐhèn,remorse; repentance
愚昧,yúmèi,ignorance; ignorant; uneducated
隐蔽,yǐnbì,covert; to conceal; to hide; under cover
心甘情愿,xīngānqíngyuàn,delighted to (do sth, idiom); most willing to do; perfectly happy to do
无辜,wúgū,innocence; innocent; not guilty (law)
战役,zhànyì,military campaign
渗透,shèntòu,(chemistry) osmosis; (lit. and fig.) to permeate; (of a product, idea etc) to penetrate (in a population); (of hostile forces) to infiltrate; to seep into
束缚,shùfù,to bind; to tie up; to fetter; to shackle
地势,dìshì,terrain; topography relief
浸泡,jìnpào,to immerse; to soak; to steep
欣欣向荣,xīnxīnxiàngróng,(idiom) flourishing; thriving
优胜劣汰,yōushèngliètài,survival of the fittest (idiom)
机智,jīzhì,quick-witted; resourceful
即便,jíbiàn,even if; even though; immediately; right away
无忧无虑,wúyōuwúlü,carefree and without worries (idiom)
嘲笑,cháoxiào,derision; mockery; to deride; to jeer at; to ridicule
否决,fǒujué,to overrule; to veto
凝视,níngshì,to fix one's eyes on; to gaze at
神仙,shénxiān,(in modern fiction) fairy, elf, leprechaun etc; Daoist immortal; fig. lighthearted person; supernatural entity
反馈,fǎnkuì,feedback; to send back information
媳妇,xífù,daughter-in-law; wife (of a younger man); young married woman; young woman
毅然,yìrán,firmly; resolutely; without hesitation
轰动,hōngdòng,commotion; controversy; to cause a sensation; to create a stir in (a place)
优先,yōuxiān,to have priority; to take precedence
吝啬,lìnsè,stingy; mean; miserly
事件,shìjiàn,event; happening; incident
干旱,gānhàn,arid; drought; dry
叼,diāo,to hold with one's mouth (as a smoker with a cigarette or a dog with a bone)
茂盛,màoshèng,lush
隔离,gélí,to isolate; to separate
挑剔,tiāoti,fussy; picky
征服,zhēngfú,to conquer; to subdue; to vanquish
雄厚,xiónghòu,substantial; robust; ample; abundant
克制,kèzhì,restraint; self-control; to control; to restrain
拐杖,guǎizhàng,crutch; crutches; walking stick
摸索,mōsuo,to do things slowly; to feel about; to fumble; to grope about
过于,guòyú,excessively; too
殖民地,zhímíndì,colony
探测,tàncè,to probe; to survey
天文,tiānwén,astronomy
光荣,guāngróng,glorious; honor and glory
粥,zhōu,congee; gruel; porridge
千方百计,qiānfāngbǎijì,lit. thousand ways, a hundred plans (idiom); by every possible means
次序,cìxù,sequence; order
震撼,zhènhàn,shock; shocking; stunning; to shake; to shock; to stun
炊烟,chuīyān,smoke from kitchen chimneys
帐篷,zhàngpeng,tent
文艺,wényì,literature and art
纪要,jìyào,minutes; written summary of a meeting
别墅,biéshù,villa
泡沫,pàomò,(economic) bubble; (soap) bubble; foam
包庇,bāobì,to cover up; to harbor; to shield
斗争,dòuzhēng,a struggle; battle; fight
迟钝,chídùn,slow in one's reactions; sluggish (in movement or thought)
争气,zhēngqì,determined not to fall short; to resolve on improvement; to work hard for sth
掠夺,lüèduó,to plunder; to rob
过失,guòshī,(law) negligence; delinquency; error; fault
狠心,hěnxīn,callous; heartless; firm resolve (as in 下狠心[xia4 hen3 xin1]); to resolve (to do sth)
锦上添花,jǐnshàngtiānhuā,(derog.) to benefit sb who is already well off; fig. to give sth additional splendor; lit. add flowers to brocade (idiom); to provide the crowning touch
熄灭,xīmiè,extinguished; to die out; to go out (of fire); to stop burning
惊奇,jīngqí,to be amazed; to be surprised; to wonder
正宗,zhèngzōng,authentic; fig. traditional; genuine; old school; orthodox school
后勤,hòuqín,logistics
急躁,jízào,impetuous; irritable; irascible
盆地,péndì,(geography) basin; depression
配偶,pèiǒu,spouse
灯笼,dēnglóng,lantern
虚伪,xūwěi,artificial; false; hypocritical; sham
进而,jìnér,and then (what follows next)
狼吞虎咽,lángtūnhǔyàn,to gorge oneself; to wolf down one's food (idiom); to devour ravenously
滋味,zīwèi,feeling; flavor; taste
摩擦,mócā,chafing; conflict; fig. disharmony; friction; rubbing
时光,shíguāng,era; period of time; time
管辖,guǎnxiá,to administer; to have jurisdiction (over)
擅自,shànzì,without permission
欺负,qīfu,to bully
串,chuàn,bunch; classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of; skewer; string; to connect wrongly; to gang up; to make a swift or abrupt linear movement (like a bead on an abacus); to move across; to rove; to skewer; to string together
首饰,shǒushì,head ornament; jewelry
当务之急,dāngwùzhījí,matter of vital importance; top priority job
书法,shūfǎ,calligraphy; handwriting; penmanship
伶俐,línglì,clever; intelligent; witty
列举,lièjǔ,a list; to enumerate; to list
废寝忘食,fèiqǐnwàngshí,(idiom) to skip one's sleep and meals; to be completely wrapped up in one's work
不惜,bùxī,not hesitate (to do sth); not scruple (to do sth); not spare; not stint
侦探,zhēntàn,detective; to do detective work
悬殊,xuánshū,large disparity; widely different
非法,fēifǎ,illegal
博览会,bólǎnhuì,exposition; international fair
清真,qīngzhēn,Islamic; Muslim; clean; halal (of food); pure
立体,lìtǐ,solid; stereoscopic; three-dimensional
达成,dáchéng,to accomplish; to reach (an agreement)
无赖,wúlài,hoodlum; rascal; rascally; rogue; scoundrelly
区分,qūfēn,to differentiate; to divide into categories; to draw a distinction
政权,zhèngquán,political power; regime
季军,jìjūn,bronze medalist; third in a race
顿时,dùnshí,immediately; suddenly
排斥,páichì,to eliminate; to exclude; to reject; to remove; to repel
派别,pàibié,group; sect; clique; faction; school
侵犯,qīnfàn,to assault; to encroach on; to infringe on; to violate
先前,xiānqián,before; previously
中立,zhōnglì,neutral; neutrality
争先恐后,zhēngxiānkǒnghòu,striving to be first and fearing to be last (idiom); outdoing one another
统治,tǒngzhì,regime; rule; to govern; to rule (a country)
谢绝,xièjué,to refuse politely
领会,lǐnghuì,to comprehend; to grasp; to understand
发扬,fāyáng,to develop; to make full use of
竞选,jìngxuǎn,to run for office; to take part in an election
沸腾,fèiténg,(of a liquid) to boil; (of sentiments etc) to boil over; to be impassioned; to flare up
个体,gètǐ,individual
暗示,ànshì,hint; suggestion; to hint; to suggest
癌症,áizhèng,cancer
巷,xiàng,alley; lane
总而言之,zǒngéryánzhī,in a word; in brief; in short
先进,xiānjìn,advanced (technology); to advance
部署,bùshǔ,deployment; to deploy; to dispose
全力以赴,quánlìyǐfù,to do at all costs; to make an all-out effort
急剧,jíjù,rapid; sudden
恐惧,kǒngjù,dread; fear; to be frightened
慰问,wèiwèn,to express sympathy, greetings, consolation etc
确保,quèbǎo,to ensure; to guarantee
吃力,chīlì,laborious; strain; strenuous; to entail strenuous effort; to toil at a task
空前绝后,kōngqiánjuéhòu,the first and the last; unique; unmatched; unprecedented and never to be duplicated
卷,juǎn,classifier for small rolled things (wad of paper money, movie reel etc); roll; to roll up
卷,juàn,book; chapter; classifier for books, paintings: volume, scroll; examination paper; scroll; volume
卷,juǎn,a roll; classifier for rolls, spools etc; to roll up; to sweep up; to carry along
茎,jīng,stalk; stem
消毒,xiāodú,to disinfect; to sterilize
智力,zhìlì,intellect; intelligence
歪曲,wāiqū,to distort; to misrepresent
正负,zhèngfù,positive and negative
开支,kāizhī,(coll.) to pay wages; expenditures; expenses; to spend money
稻谷,dàogǔ,paddy; unhusked rice
川流不息,chuānliúbùxī,the stream flows without stopping (idiom); unending flow
栏目,lánmù,program (TV or radio); regular column or segment (in a publication or broadcast program)
近来,jìnlái,lately; recently
趣味,qùwèi,fun; interest; delight; taste; liking; preference
纵横,zònghéng,able to move unhindered; criss-crossed; length and breadth; lit. warp and weft in weaving; vertically and horizontal
竖,shù,to erect; vertical; vertical stroke (in Chinese characters)
畅销,chàngxiāo,bestselling; chart-topping; to sell well
掩饰,yǎnshì,to conceal; to cover up; to gloss over; to mask
弹性,tánxìng,elasticity; flexibility
登录,dēnglù,to log in; to register
视力,shìlì,eyesight; vision
豪迈,háomài,bold; heroic; open-minded
喧哗,xuānhuá,clamor; hubbub; to make a racket
加工,jiāgōng,processing; to process; working (of machinery)
不愧,bùkuì,to be worthy of; to deserve to be called; to prove oneself to be
滋润,zīrùn,comfortably off; humid; moist; to moisten; to provide moisture
诸位,zhūwèi,(pron) everyone; Ladies and Gentlemen; Sirs
橙,chéng,orange (color); orange tree
束,shù,bunch; bundle; classifier for bunches, bundles, beams of light etc; to bind; to control
践踏,jiàntà,to trample
鞭策,biāncè,to encourage sb (e.g. to make progress); to spur on; to urge on
时而,shíér,from time to time; occasionally
自发,zìfā,spontaneous
复兴,fùxīng,to rejuvenate; to revive
复兴,Fùxīng,Fuxing district of Handan city 邯鄲市|邯郸市[Han2 dan1 shi4], Hebei; Fuxing or Fuhsing township in Taoyuan county 桃園縣|桃园县[Tao2 yuan2 xian4], north Taiwan
贪污,tānwū,corruption; to be corrupt; to embezzle
薪水,xīnshuǐ,salary; wage
全局,quánjú,overall situation
借鉴,jièjiàn,lesson to be learned (by observing others); to draw on (others' experience); to learn from (how others do things)
号召,hàozhào,to appeal; to call
对称,duìchèn,symmetrical; symmetry
主管,zhǔguǎn,in charge; manager; person in charge; responsible for
公认,gōngrèn,accepted (as); publicly known (to be)
不敢当,bùgǎndāng,lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me
指南针,zhǐnánzhēn,compass
嘿,hēi,hey
揉,róu,to knead; to massage; to rub
冻结,dòngjié,(fig.) to freeze (assets, prices etc); to freeze (water etc)
无精打采,wújīngdǎcǎi,dispirited and downcast (idiom); listless; in low spirits; washed out
耗费,hàofèi,to consume; to spend; to squander; to waste
顾虑,gùlü,apprehensions; misgivings
搀,chān,to adulterate; to blend; to dilute; to mix; to take by the arm and assist
津津有味,jīnjīnyǒuwèi,eagerly; with great pleasure; with gusto; with keen interest (idiom)
母语,mǔyǔ,(linguistics) parent language; mother tongue; native language
万分,wànfēn,extremely; one ten thousandth part; very much
忠实,zhōngshí,faithful
防御,fángyù,defense; to defend
弥补,míbǔ,to complement; to make up for a deficiency
忙碌,mánglù,busy; bustling
共和国,gònghéguó,republic
倔强,juéjiàng,stubborn; obstinate; unbending
联欢,liánhuān,celebration; party; to have a get-together
绝望,juéwàng,desperate; desperation; to despair; to give up all hope
着重,zhuózhòng,to put emphasis on; to stress
英明,yīngmíng,brilliant; wise
放大,fàngdà,to enlarge; to magnify
泄露,xièlù,also pr. [xie4 lou4]; to leak (information); to divulge
警告,jǐnggào,to admonish; to warn
争端,zhēngduān,conflict; controversy; dispute
掏,tāo,to fish out (from pocket); to scoop
追究,zhuījiū,to investigate; to look into
锤,chuí,hammer; to hammer into shape; to strike with a hammer; weight (e.g. of a steelyard or balance)
释放,shìfàng,to discharge; to liberate (a prisoner); to release; to set free
动身,dòngshēn,to go on a journey; to leave
格式,géshì,form; format; specification
打量,dǎliang,to look sb up and down; to reckon; to size sb up; to suppose; to take the measure of
发财,fācái,to get rich
挪,nuó,to move; to shift
投机,tóujī,agreeable; congenial; opportunistic; to speculate (on financial markets)
孤独,gūdú,lonely; solitary
屏幕,píngmù,screen (TV, computer or movie)
绣,xiù,to embroider; embroidery
尖锐,jiānruì,acute (illness); intense; penetrating; pointed; sharp
断定,duàndìng,to come to a judgment; to conclude; to determine
屏障,píngzhàng,barrier
理所当然,lǐsuǒdāngrán,as it should be by rights (idiom); proper and to be expected as a matter of course; inevitable and right
结晶,jiéjīng,(fig.) the fruit (of labor etc); crystal; crystalline; crystallization; to crystallize
充实,chōngshí,full; rich; substantial; to augment; to enrich; to substantiate (an argument)
就业,jiùyè,employment; to get a job
事务,shìwù,(political, economic etc) affairs; transaction (as in a computer database); work
推论,tuīlùn,corollary; inference; reasoned conclusion; to infer
腐败,fǔbài,corruption; rotten; to corrupt; to rot
激情,jīqíng,enthusiasm; fervor; passion; strong emotion
震惊,zhènjīng,to astonish; to shock
对应,duìyìng,to correspond (to); to be equivalent to; to be a counterpart to
攒,zǎn,to accumulate; to collect; to hoard; to save
攒,cuán,to bring together
慷慨,kāngkǎi,generous; magnanimous; vehement; fervent
终身,zhōngshēn,all one's life; lifelong; marriage
狼狈,lángbèi,in a difficult situation; scoundrel! (derog.); to cut a sorry figure
呕吐,ǒutù,to vomit
拾,shí,ten (banker's anti-fraud numeral); to collate or arrange; to pick up
拾,shè,to ascend in light steps
正经,zhèngjīng,according to standards; decent; honorable; proper; serious
蔑视,mièshì,contempt; to despise; to loathe
幼稚,yòuzhì,childish; puerile; young
自卑,zìbēi,to abase oneself; to have low self-esteem
撇,piē,to cast away; to fling aside
撇,piě,left-slanting downward brush stroke (calligraphy); to cast; to throw
盖章,gàizhāng,to affix a seal; to sign off on sth; to stamp (a document)
服从,fúcóng,to comply; to defer; to obey (an order)
疤,bā,scab; scar
文物,wénwù,cultural relic; historical relic
武装,wǔzhuāng,armed (forces); arms; equipment; military; to arm
作风,zuòfēng,style; style of work; way
盛行,shèngxíng,to be in vogue; to be popular; to be prevalent
机密,jīmì,classified (information); secret
鼻涕,bítì,nasal mucus; snivel; snot
堕落,duòluò,a fall from grace; corrupt; to become depraved; to degenerate; to degrade
理睬,lǐcǎi,to heed; to pay attention to
驻扎,zhùzhā,to garrison (troops); to station
奇妙,qímiào,fantastic; wonderful
准则,zhǔnzé,criterion; norm; standard
渺小,miǎoxiǎo,insignificant; minute; negligible; tiny
鄙视,bǐshì,to despise; to disdain; to look down upon
无微不至,wúwēibùzhì,in every possible way (idiom); meticulous
来源,láiyuán,origin; source (of information etc)
凶手,xiōngshǒu,assassin; murderer
持久,chíjiǔ,endurance; enduring; lasting; permanent; persistence; persistent; protracted; to last long
主流,zhǔliú,fig. the essential point; main stream (of a river); main viewpoint of a matter; mainstream (culture etc)
劈,pī,(of lightning) to strike; to chop; to hack; to split open
劈,pǐ,to divide; to split in two
被告,bèigào,defendant
更新,gēngxīn,to regenerate; to renew; to renovate; to replace the old with new; to update; to upgrade
朝气蓬勃,zhāoqìpéngbó,a bright spark; energetic; full of youthful energy (idiom); vigorous
上任,shàngrèn,predecessor; previous (incumbent); to take office
厌恶,yànwù,disgusted with sth; to hate; to loathe
调和,tiáohé,blended; harmonious; mediation; seasoning; to compromise; to mediate; to reconcile; to mix; to blend; to placate; to season
崇高,chónggāo,majestic; sublime
粗鲁,cūlǔ,boorish; coarse; crude (in one's manner)
辨认,biànrèn,to identify; to recognize
磋商,cuōshāng,consultations; negotiations; to confer; to consult; to discuss seriously; to negotiate
贼,zéi,deceitful; evil; extremely; thief; traitor; wily
乐趣,lèqù,delight; pleasure; joy
保养,bǎoyǎng,maintenance; to keep in good repair; to maintain; to take good care of (or conserve) one's health
采集,cǎijí,to collect; to gather; to harvest
平面,píngmiàn,plane (flat surface); print media
凶恶,xiōngè,ferocious; fiendish; frightening
凶恶,xiōngè,ferocious; fiendish; fierce; frightening
包装,bāozhuāng,packaging; to pack; to package; to wrap
下属,xiàshǔ,subordinate; underling
示范,shìfàn,a model example; demonstration; to demonstrate; to show how to do sth
惹祸,rěhuò,to invite disaster; to stir up trouble
魄力,pòlì,boldness; courage; daring; drive; resolution
条理,tiáolǐ,arrangement; order; tidiness
贯彻,guànchè,to carry out; to implement; to put into practice
起码,qǐmǎ,at the minimum; at the very least
灾难,zāinàn,disaster; catastrophe
果断,guǒduàn,decisive; firm
直播,zhíbō,(Internet) to livestream; (TV, radio) to broadcast live; (agriculture) direct seeding; live broadcast
居住,jūzhù,resident in; to dwell; to live in a place; to reside
普及,pǔjí,pervasive; popular; to generalize; to spread extensively; ubiquitous; universal; widespread
塔,tǎ,minaret; pagoda; stupa (abbr. loanword from Sanskrit tapo); tower
港湾,gǎngwān,bay serving as a harbor
疏远,shūyuǎn,estrangement; to alienate; to become estranged; to drift apart
专程,zhuānchéng,specially (for that purpose); specifically
振兴,Zhènxīng,Zhengxing district of Dandong city 丹東市|丹东市[Dan1 dong1 shi4], Liaoning
振兴,zhènxīng,to revive; to revitalize; to invigorate; to re-energize
爱不释手,àibùshìshǒu,(idiom) to like sth so much that one is reluctant to put it down; to find sth utterly irresistible
惩罚,chéngfá,penalty; punishment; to punish
谅解,liàngjiě,to make allowances for; to understand; understanding
外界,wàijiè,external; the outside world
把关,bǎguān,to check on sth; to guard a pass
赞助,zànzhù,to assist; to sponsor; to support
归还,guīhuán,to return sth; to revert
制约,zhìyuē,condition; to restrict
郑重,zhèngzhòng,conscientious; earnest; serious; solemn
预言,yùyán,prophecy; to predict
着手,zhuóshǒu,to put one's hand to it; to set out; to start out on a task
专题,zhuāntí,article, report or program etc on a specific topic; specific topic (addressed by a book, lecture, TV program etc)
油腻,yóunì,(neologism c. 2017) (of a middle-aged man) obnoxious; pretentious; vulgar; (of food) greasy; oily; fatty; greasy food; oily food
驱逐,qūzhú,banishment; to deport; to expel
旷课,kuàngkè,to cut classes; to play truant
晃,huǎng,to dazzle; to flash past
晃,huàng,to shake; to sway; to wander about
